var,ig,attn,rank_ig,rank_attn
KR_Exports,0.20200902,0.05451061,1,1
DXY_Broad,0.04475813,0.03555981,2,10
NatGas_HH,0.04401112,0.042357687,3,4
US_YieldSpread,0.038517084,0.03765586,4,9
Rate_ECB,0.03648848,0.04936061,5,3
Rate_KR,0.03460475,0.030783277,6,19
KR_Imports,0.030321911,0.024870902,7,27
US_ConsConf,0.027484018,0.025887515,8,26
US_Unemp,0.026389359,0.03298478,9,15
CPI_XM_YoY,0.026106382,0.035527535,10,11
KR_Interbank3M,0.025627531,0.033685066,11,14
US_M2,0.02541765,0.028711915,12,22
US_PPI,0.02523313,0.027969595,13,23
JP_Interbank3M,0.02378812,0.03292607,14,16
KR_LongRate,0.020569753,0.026565308,15,24
Wheat,0.020489266,0.03908294,16,5
VIX,0.018367648,0.029220307,17,21
China_CPI,0.018360792,0.03875278,18,6
US_CoreCPI_idx,0.017973712,0.0502442,19,2
FedFunds,0.01647777,0.02986547,20,20
USD_KRW,0.015749762,0.02399744,21,28
Oil_WTI,0.013347042,0.03494567,22,12
JPY_USD,0.010998524,0.032923877,23,17
CPI_US_YoY,0.010021168,0.026119387,24,25
Oil_Brent,0.009294492,0.03783137,25,8
CNY_USD,0.007496249,0.03789044,26,7
Corn,0.0057406197,0.030785676,27,18
Copper,0.0046081953,0.034687016,28,13
