variable,original_freq
CPI_KR_YoY,monthly
CNY_USD,daily
DXY_Broad,daily
JPY_USD,daily
NatGas_HH,daily
Oil_Brent,daily
Oil_WTI,daily
USD_KRW,daily
US_YieldSpread,daily
VIX,daily
CPI_US_YoY,monthly
CPI_XM_YoY,monthly
China_CPI,monthly
Copper,monthly
Corn,monthly
FedFunds,monthly
JP_Interbank3M,monthly
KR_Exports,monthly
KR_Imports,monthly
KR_Interbank3M,monthly
KR_LongRate,monthly
Rate_ECB,monthly
Rate_KR,monthly
US_ConsConf,monthly
US_CoreCPI_idx,monthly
US_M2,monthly
US_PPI,monthly
US_Unemp,monthly
Wheat,monthly
